Alma 31:15
Helaman 15:7
Jacob 6:8
Alma 6:8
Mormon 9:37
2_Nephi 31:13
Alma 5:46
Alma 37:33
1_Nephi 10:17
Moroni 10:4
Moroni 10:32
Ether 12:41
Mormon 3:21
Alma 13:10
Moroni 3:3
Moroni 6:4
Moroni 10:33
2_Nephi 25:19
Mosiah 3:12
Mormon 9:11
Alma 44:4
Moroni 4:3
Alma 5:54
Moroni 8:12
4_Nephi 1:1
Alma 37:40
Moroni 7:44
Jacob 4:11
Alma 9:21
Mormon 9:19
Alma 7:14
3_Nephi 9:20
Moroni 5:2
2_Nephi 26:12
Alma 11:44
Alma 34:38
Moroni 7:16
Moroni 7:25
Moroni 7:26
Alma 13:3
Alma 13:18
Moroni 10:8
2_Nephi 11:7
2_Nephi 30:5
Jacob 4:6
Alma 22:16
Ether 11:20
Ether 12:4
Alma 9:12
Alma 49:30
2_Nephi 25:26
Alma 30:44
Moroni 7:32
Alma 12:30
Jacob 7:19
3_Nephi 7:16
3_Nephi 28:23
1_Nephi 3:20
Alma 30:42
2_Nephi 32:3
Mosiah 7:27
Mormon 5:14
Mosiah 15:11
2_Nephi 21:2
Mosiah 4:2
Moroni 8:3
2_Nephi 30:2
2_Nephi 25:20
Alma 42:15
Mormon 9:13
Moroni 9:22
Alma 34:17
Alma 22:18
Alma 29:11
Alma 42:31
Mormon 7:8
2_Nephi 9:23
Mosiah 27:14
2_Nephi 25:16
2_Nephi 2:21
Jacob 4:13
Ether 12:7
Mosiah 7:19
Moroni 7:2
Alma 26:22
Alma 5:44
Alma 25:16
Mormon 9:29
Jarom 1:4
Alma 13:4
Alma 34:34
Mosiah 18:13
Alma 37:9
Ether 4:7
Alma 24:11
Mormon 9:22
Mosiah 25:22
Mosiah 4:3
Alma 43:10
Helaman 13:6
3_Nephi 4:30
Alma 5:50
2_Nephi 9:40
1_Nephi 11:6
Moroni 8:11
2_Nephi 31:21
Alma 31:16
Alma 42:22
Moroni 8:25
Mosiah 3:19
Alma 43:2
2_Nephi 28:32
Mosiah 3:21
Ether 12:20
1_Nephi 17:48
Alma 30:39
Mormon 9:12
Moroni 8:23
Mosiah 3:13
Mosiah 21:30
Alma 34:16
Moroni 8:28
Alma 8:10
2_Nephi 33:10
2_Nephi 4:35
Alma 27:27
Mormon 7:5
Mosiah 18:26
Alma 21:6
3_Nephi 7:21
Mormon 9:5
Moroni 8:8
